day,node_id,node_name,population,susceptible,latent,infectious_a,infectious_t,infectious_nt,recovered,foi,exit_rate
1,n10,Ecker�,950,950,0,0,0,0,0,0.0,0.048402
1,n11,Enonkoski,1400,1400,0,0,0,0,0,0.0,0.072146
1,n12,Enonteki�,1900,1900,0,0,0,0,0,4.2e-07,0.113242
1,n13,Espoo,297132,297131,0,0,0,1,0,4e-08,16.53242
1,n14,Eura,9200,9200,0,0,0,0,0,2.2e-07,0.413699
1,n15,Eurajoki,6000,6000,0,0,0,0,0,6e-08,0.368037
1,n16,Evij�rvi,2500,2500,0,0,0,0,0,4e-07,0.110502
1,n17,Finström,2600,2600,0,0,0,0,0,0.0,558.666667
1,n18,Finstr�m,2600,2600,0,0,0,0,0,0.0,0.1379
1,n19,Forssa,16900,16900,0,0,0,0,0,1.1e-07,0.799087
1,n20,Föglö,550,550,0,0,0,0,0,0.0,42.666667
1,n21,F�gl�,550,550,0,0,0,0,0,0.0,0.011872
1,n22,Geta,500,500,0,0,0,0,0,0.0,90.010046
1,n23,Haapaj�rvi,7100,7100,0,0,0,0,0,0.0,0.273973
1,n24,Haapavesi,6800,6800,0,0,0,0,0,0.0,0.317808
1,n25,Hailuoto,1000,1000,0,0,0,0,0,0.0,0.042009
1,n26,Halsua,1200,1200,0,0,0,0,0,0.0,0.047489
1,n27,Hamina,19800,19800,0,0,0,0,0,0.0,0.743379
1,n28,Hammarland,1500,1500,0,0,0,0,0,0.0,368.028311
1,n29,Hankasalmi,5000,5000,0,0,0,0,0,0.0,0.224658
1,n30,Hanko,8300,8300,0,0,0,0,0,0.0,0.310502
1,n31,Harjavalta,7100,7100,0,0,0,0,0,0.0,0.352511
1,n32,Hartola,3000,3000,0,0,0,0,0,0.0,0.124201
1,n33,Hattula,9700,9700,0,0,0,0,0,8e-08,0.452055
1,n34,Hausj�rvi,8600,8600,0,0,0,0,0,5e-08,0.442922
1,n35,Heinola,17900,17900,0,0,0,0,0,0.0,0.783562
1,n36,Hein�vesi,3400,3400,0,0,0,0,0,0.0,0.165297
1,n37,Helsinki,658864,658864,0,0,0,0,0,3e-08,30.807306
1,n38,Hirvensalmi,2200,2200,0,0,0,0,0,0.0,0.134247
1,n39,Hollola,22800,22800,0,0,0,0,0,4e-08,1.153425
1,n40,Huittinen,10500,10500,0,0,0,0,0,1.1e-07,0.350685
1,n41,Humppila,2400,2400,0,0,0,0,0,4e-07,0.096804
1,n42,Hyrynsalmi,2400,2400,0,0,0,0,0,0.0,0.083105
1,n43,Hyvink��,46800,46800,0,0,0,0,0,8e-08,2.297717
1,n44,H�meenkyr�,10400,10400,0,0,0,0,0,1.3e-07,0.405479
1,n45,H�meenlinna,67800,67800,0,0,0,0,0,3.5e-07,3.063927
1,n46,Ii,10200,10200,0,0,0,0,0,0.0,0.463014
1,n47,Iisalmi,21600,21600,0,0,0,0,0,0.0,0.884932
1,n48,Iitti,6800,6800,0,0,0,0,0,0.0,0.249315
1,n49,Ikaalinen,7100,7100,0,0,0,0,0,0.0,0.289498
1,n50,Ilmajoki,12500,12500,0,0,0,0,0,0.0,0.554338
1,n51,Ilomantsi,5100,5100,0,0,0,0,0,0.0,0.156164
1,n52,Imatra,25800,25800,0,0,0,0,0,0.0,0.964384
1,n53,Inari,6800,6800,0,0,0,0,0,1.6e-07,0.393607
1,n54,Ing�,5400,5400,0,0,0,0,0,0.0,0.256621
